"","h_results","Omega_m_results","Omega_k_results","w_results"
"1",0.693000329967077,0.318098245160395,0.00568619792595375,-1.10072377400063
"2",0.703226965178755,0.328115887511911,-0.00207884338590941,-1.14568357025197
"3",0.708641046023044,0.304290195066284,0.0065437706602776,-1.06090605995512
"4",0.687590804459345,0.325874133060185,-0.00155435162017983,-0.820572303550853
"5",0.699866209688663,0.319807293864625,-0.00694874015136006,-1.00088324671158
"6",0.702915760602623,0.323079643614356,-0.00361027442453867,-1.02563732430457
"7",0.708667112187706,0.323629773059893,-0.0020983121282935,-1.18930795750622
"8",0.692717632255617,0.306310180439544,-0.0029138754935814,-0.999390171121113
"9",0.693059783680485,0.307786846093201,0.00273089093928427,-1.05424442753049
"10",0.701294161654511,0.324828221912559,-0.0103588039277979,-1.11666494778132
"11",0.694059360685148,0.31198818474652,0.0103592208911353,-0.963290129144958
"12",0.69521926444919,0.322458515780529,0.00380721059786512,-0.89316689969415
"13",0.708309881355934,0.298372596085071,0.0200207842982988,-1.18790081292127
"14",0.688153524834758,0.312782658235776,-0.00783086154624225,-0.943232907483496
"15",0.717654638898558,0.322866630521571,-0.00796202002146553,-1.24102925573712
"16",0.7115800581164,0.300783732113795,-0.00829594619971987,-0.969767151175688
"17",0.68987117466804,0.336202449481703,-0.010385070283607,-0.913100979787042
"18",0.691008741885111,0.321873519259663,0.00611423321178128,-1.00094816135004
"19",0.698637905950127,0.316725093109723,-0.0106980020558659,-1.03864973553948
"20",0.69336524529656,0.30452343916758,0.0108067763664604,-1.00699169846579
"21",0.69475955467932,0.332592879635263,-0.0148887423138431,-1.00181344639404
"22",0.704653586411406,0.31326968155448,0.00781262528262894,-1.03078367826351
"23",0.69727943876408,0.306242673796668,-0.0162144437653806,-0.880486136389564
"24",0.704729845358167,0.324113866992262,0.00594406123124487,-1.05809146696577
"25",0.693277539000994,0.316249090940715,0.0111723547162451,-0.964379920186858
"26",0.693350615625843,0.318196107106962,-0.012239302035666,-0.940497091845582
"27",0.707262161050791,0.305898499957529,-0.00439747450124379,-1.04392667784092
"28",0.697015217375373,0.32803624608381,-0.000439541472751032,-1.08960484333614
"29",0.715681683572738,0.312799157416826,-0.0039847350985914,-1.14434754609626
"30",0.71534258494282,0.315715600924985,-0.00657061496154538,-1.1453337047914
"31",0.692282506255512,0.307989944072881,0.0138252609773989,-0.949641920588834
"32",0.702810658712793,0.320118183052373,-0.00325169603372721,-1.02629280594125
"33",0.707833316533457,0.328581263183313,-0.0102731551832308,-1.02199243570346
"34",0.695233032373665,0.310500492711325,-0.00460115479017754,-0.99318874688603
"35",0.694993223060832,0.307990215533057,-0.00843015196309028,-0.982365179073815
"36",0.710384823288766,0.311330810716709,-0.00969312463625792,-1.12975130322331
"37",0.69417228652646,0.331397875035318,0.00460214956582072,-1.00035706910506
"38",0.69264714195698,0.30571022602976,0.00985213750345942,-1.07602864856765
"39",0.701715229980871,0.314264910106784,2.98664787873344e-05,-0.986662313778693
"40",0.704015186394087,0.312157614971607,0.000251605255005413,-1.14243940097685
"41",0.709872495204814,0.302987153580281,0.00402245571727021,-1.02762391162515
"42",0.703119662059277,0.313608837092532,-0.0181968984135425,-1.05440304450582
"43",0.705430993023286,0.297926957995514,-0.00347934485432722,-1.10115399773896
"44",0.710545890222499,0.305277562654193,0.000418909001489403,-1.05651003562585
"45",0.70475247974221,0.305910208521133,0.00950648537096891,-1.07806393475752
"46",0.689629894442068,0.326438430614365,-0.00237861436785265,-1.02018390553518
"47",0.709777010310145,0.311499262778805,0.0225407886036773,-1.12406783961983
"48",0.689563613220544,0.29738227194316,0.00751507841821353,-0.98356853083296
